ID,Title,Instructors,Rating,Level,URL,Duration,Description,Practice Questions,Is Paid,Price (VND)
6151269,CCNP 350-801 CLCOR: 6 Full Practice Exams with Questions,Lou,5.0,All Levels,https://www.udemy.com/course/ccnp-350-801-clcor-6-full-practice-exams-with-questions/,798 questions,"Comprehensive Review: Use practice tests to review and reinforce complex topics.; Realistic Exam Experience: Simulate the actual exam environment to reduce surprises on test day.; Retention and Reinforcement: Taking a test reinforces your learning. Retrieing information during the test enhances memory retention, making it more likely that",798,True,"109,000"
6214041,MS Certified: Azure Developer Associate AZ-204 Practice exam,Master,5.0,All Levels,https://www.udemy.com/course/ms-certified-azure-developer-associate-az-204-practice-exam/,484 questions,Full Practice Exam with Explanations included!; 6 practice tests; High-quality test questions,484,True,"699,000"
6263175,Ethical hacking fundamentals,Temitope,5.0,Beginner Level,https://www.udemy.com/course/ethical-hacking-fundamentals-k/,1 total hour,Introduction to Ethical Hacking; Footprinting and tools.; Basic Tools and Techniques for Network Scanning,0,True,"1,230,000"
5415276,A Deep Dive into the Future Tech of ChatGPT and LLMs,Data,5.0,All Levels,https://www.udemy.com/course/a-deep-dive-into-the-future-tech-of-chatgpt-and-llms/,4.5 total hours,Introduction to Large Language Models; Fundamentals of Generative AI and ChatGPT; Prompt Engineering for effective use of ChatGPT and LLMs,0,True,"1,730,000"
6572341,BABOK® - Underlying Competencies,Tomasz,5.0,Beginner Level,https://www.udemy.com/course/babok-underlying-competencies/,1 total hour,Understand the six underlying competency categories from BABOK and their role in business analysis.; Apply key interpersonal and communication skills in real-world analysis contexts.; Use analytical thinking and business knowledge to enhance personal growth.,0,True,"1,920,000"
5471588,Thick Client Pentest :Modern Approaches 2024(Complete Guide),Viraj Kishor,5.0,Intermediate Level,https://www.udemy.com/course/thick-client-pentest-modern-approaches-2024complete-guide/,2 total hours,"Employing techniques like different ways to potentially discovering hidden functionalities or vulnerabilities of DLL Hijacking, Enumerations; Exploring scenarios where the attacker manipulates the thick client itself or its environment to gain unauthorized access or perform malicious actions; Checking for input validation issues, such as improper handling of user input, that could lead to injection attacks (e.g., SQL injection, command injection).",0,True,"1,740,000"
4016650,Graph Theory and Algorithms Implementation,Kunal,5.0,All Levels,https://www.udemy.com/course/learn-graph-algorithms-with-cpp-programming/,4.5 total hours,Thorough Understanding about Graph Algorithms .; Depth First Search and Breadth First Search.; From scratch Implementation of DFS and BFS Algorithms.,0,True,"1,100,000"
6531703,1Z0-1195-25 Data Foundations & 1Z0-1122-25 AI Foundations,Waseem,5.0,All Levels,https://www.udemy.com/course/1z0-1195-25-1z0-1122-25/,105 questions,"1Z0-1195-25: Data Management & Cloud – Oracle Data Strategy, multi-cloud, deployment models, and database services.; 1Z0-1195-25: Database & Security – Exadata, NoSQL, MySQL HeatWave, database resiliency, and security architectures.; 1Z0-1122-25: AI & ML Basics – AI principles, ML techniques (supervised, unsupervised, reinforcement), deep learning fundamentals.",105,True,"309,000"
5943996,Hydrologic Simulation using AWBM Conceptual Model,Asghar,5.0,Expert Level,https://www.udemy.com/course/hydrologic-simulation-using-awbm-conceptual-model/,1 total hour,You can learn about the Conceptual Hydrologic Models; You Can learn How to Prepare the Input Datasets for AWBM Model; You Can learn How to Calibrate the Model using Different Optimization Approaches,0,True,"1,440,000"
1909698,NIST Risk Management Framework (RMF) - FOR BEGINNERS,Paul; PJ,4.6285715,All Levels,https://www.udemy.com/course/fismacompliance/,5 total hours,Gain True to life experience of how to complete a system Assessment and Authorization (A&A) through simulated learning,0,True,"1,860,000"
1759194,Graph Theory Algorithms,William,4.67,All Levels,https://www.udemy.com/course/graph-theory-algorithms/,9 total hours,Storage and representation of graphs (networks) on a computer; Common graph theory problems; Breadth first search algorithm,0,True,"1,550,000"
980248,DAX Power Pivot - 10 Easy Steps for Beginners,Gilly,4.6287127,Beginner Level,https://www.udemy.com/course/dax-power-pivot-data-modelling-in-excel-2016-and-exercises/,6.5 total hours,Import data into the Power Pivot Data Model using Excel 2016; Import and edit data from Microsoft Access and Microsoft Excel; Build Relationships between Data Tables,0,True,"1,100,000"
234558,"Virtual Private Networks for beginners - VPN, Cisco training",Marious,4.5,All Levels,https://www.udemy.com/course/virtual-private-network/,5 total hours,understand VPN concepts; Stay safe online using Cyberghost; describe VPN protocols and understand the differences,0,True,"359,000"
1675738,An Introduction to the Controller Area Network (CAN) Bus,Emile,4.42,Intermediate Level,https://www.udemy.com/course/an-introduction-to-the-controller-area-network-can-bus/,2 total hours,Understand the commercial and technical factors that drove the development of CAN Bus; Understand the need for network arbitration and how it is done with CAN Bus; Know the format of the CAN Bus data frame,0,True,"669,000"
4195798,"Intro to Electronic Healthcare Records (EHR), Plain & Simple",Thomas,4.4758453,All Levels,https://www.udemy.com/course/h21-electronic-healthcare-records-updated-plainsimple/,1 total hour,The fundamental functions of an Electronic Healthcare Records system; Meaningful use and its impact on adopting EHRs; The impact of EHRs on today's healthcare system,0,True,"1,430,000"
1438122,Elegant Browser Automation with Python and Selenium,Brandon,4.45,Beginner Level,https://www.udemy.com/course/elegant-browser-automation-with-python-and-selenium/,6.5 total hours,"Automate professionally, build applications that scrape web data; Build sustainable, scalable, readable UI automation",9,True,"1,400,000"
1400744,Salesforce Service Cloud Consultant Certification Course,Rapid Reskill; Aaron; Evan,4.4,All Levels,https://www.udemy.com/course/salesforce-service-cloud-certification/,11 total hours,All of the core concepts you need to understand in order to pass the Salesforce Service Cloud Consultant Certification Exam; Implement Salesforce Knowledge; Implement Lightning Service Console,0,True,"1,750,000"
4423492,Citrix Fundamentals for Beginners.,Naresh,4.529851,Beginner Level,https://www.udemy.com/course/how-to-be-a-citrix-l1-helpdesk-champion/,5 total hours,How to support end-users connecting to Citrix Virtual Apps and Desktops through Citrix Workspace App; How to use Citrix Director to gather information and interact with user sessions; A methodology to approach user related issues to minimize time to resolution,0,True,"1,040,000"
1801904,Complete Linux Troubleshooting Course (Practical Examples),Imran,4.717742,All Levels,https://www.udemy.com/course/linux-troubleshooting-course/,17 total hours,Troubleshoot IT and Linux related issues with effective tools and techniques; Save time when troubleshooting is done with the correct approach; Manage your company's IT environment and respond to critical issues smoothly,0,True,"1,470,000"
2397186,Mastering Palo Alto Networks,Packt,4.7,Intermediate Level,https://www.udemy.com/course/mastering-palo-alto-networks/,9 total hours,"Implement Palo Alto NGFW profiles and policies such as URL Filtering, App-ID, Antivirus and DoS to leverage Palo Alto's stateful security protection; Enable IPsec Tunnel based VPNs and SSL-VPN configurations (Globalprotect VPN) for a cost-effective and scalable remote connectivity solution; Configure dynamic and static routing process in Palo Alto's virtual routers and configure Network Address Translations",0,True,"1,120,000"
2310306,The Complete Python Hacking Course: Beginner to Advanced,Joseph,4.35,All Levels,https://www.udemy.com/course/ethical-hacking-python/,17.5 total hours,Ethical Hacking; Python Programming; Penetration Testing,0,True,"1,970,000"
2773328,Introduction to NGINX,Hussein,4.570588,Intermediate Level,https://www.udemy.com/course/nginx-crash-course/,7.5 total hours,Layer 7 Load Balancing between services; Layer 4 Load Balancing between services; Setup NGINX as a Web Server,0,True,"899,000"
3095622,ISO/IEC 27001:2022 Information Security Controls Explained,Dr. Amar,4.4,Intermediate Level,https://www.udemy.com/course/isoiec-27001-security-controls-explained/,15 total hours,Implement information security controls effectively; Understand ISO 27001 Annex A security controls; Understand ISO 27001 Annex A security controls,0,True,"179,000"
4550786,Cybersecurity Threat Hunting for SOC Analysts,Vonnie,4.3809524,Beginner Level,https://www.udemy.com/course/cybersecurity-threat-hunting-for-soc-analysts/,8.5 total hours,Finally feel like you KNOW what you're talking about (say goodbye to imposter syndrome); Find zero-day network threats and malware in modern enterprise networks.; Use industry standard security tools to detect evil in organization networks.,0,True,"1,210,000"
721884,MSTest Unit Testing Tutorial for beginners : C# Unit Testing,Venkat,4.52,All Levels,https://www.udemy.com/course/mstest-unit-testing-tutorial-for-beginners/,4 total hours,Understand unit testing concepts and their improtance and power when developing software applications; Write effective unit tests using C# and MSTest framework to test software applications; Will be able to answer most of the unit testing related interview questions,0,True,"429,000"
6185079,Salesforce Agentforce Specialist Certification,Deepika,4.6121078,All Levels,https://www.udemy.com/course/salesforce-ai-specialist-certification-course/,7.5 total hours,"Understand the security, privacy, and grounding features that ensure the safe implementation of AI in Salesforce.; Learn how to manage and configure the Einstein Trust Layer to protect sensitive data.; Identify and apply Generative AI features in Salesforce, tailored for both Sales and Service clouds.",39,True,"299,000"
2548033,Apache Beam | A Hands-On course to build Big data Pipelines,J Garg,4.52,All Levels,https://www.udemy.com/course/apache-beam-a-hands-on-course-to-build-big-data-pipelines/,5.5 total hours,"Learn Apache Beam - A portable programming model whose pipelines can be deployed on Spark, Flink, GCP (Google Cloud Dataflow) etc.; Understand the working of each and every component of Apache Beam with HANDS-ON examples.; Learn Apache Beam fundamentals including its Architecture, Programming model, Pcollections, Pipelines etc.",0,True,"1,040,000"
4059358,React Query / TanStack Query: React Server State Management,Bonnie,4.742857,Intermediate Level,https://www.udemy.com/course/learn-react-query/,7 total hours,"React Query version 5 queries, mutations, and cache control; Using React Query for pagination, infinite scroll, and optimistic updates; Integrating React Query with Authentication",0,True,"1,770,000"
4533098,Enterprise Architecture: How to Design Models & Diagrams,Theodore,4.40625,All Levels,https://www.udemy.com/course/enterprise-architecture-how-to-design-models-diagrams/,4 total hours,"Learn how to design Enterprise Architecture Models & Diagrams from scratch from an Architecture expert; Learn how to develop best-practice models for Business, Data, Infrastructure and Application architecture; Learn how to use Microsoft Visio Professional to create real-word Enterprise Architecture Models & Diagrams",0,True,"819,000"
4295870,Python Basics Course,Mumshad; KodeKloud,4.4868803,Beginner Level,https://www.udemy.com/course/python-entry-level-programmer-certification-pcep/,1.5 total hours,Start your certification journey with Python; Get started with Python without any prior programming experience; Practice Python on real lab environments,0,True,"1,900,000"
3407178,Python And Flask Framework Complete Course,Horizon,4.484,Beginner Level,https://www.udemy.com/course/flask-framework-complete-course-for-beginners/,12 total hours,"Write Python scripts for general productivity tasks Read and comprehend Python code Gain knowledge in regard to general programming concepts; Getting Started,Values and Data Types, Operators and Operands, Function Calls of Python; Use variables to store, retrieve and calculate information",0,True,"1,090,000"
3370416,"Tokenisation and Encryption in Digital Payments, FinTech",Global FinTech,4.4183006,All Levels,https://www.udemy.com/course/tokenisation-and-encryption-in-digital-payments-fintech-best-course/,2 total hours,"Tokenisation and Encryption in Digital Payment.; Overview of HSM, Access and Refresh Token, OAuth; VISA and Apple Pay Tokenisation",0,True,"389,000"
2476604,MikroTik Network Associate with LABS,Maher,4.5625,Beginner Level,https://www.udemy.com/course/mikrotik-network-associate-with-labs/,13.5 total hours,Understand the outline of the MTCNA course; Know how to register for the MTCNA exam; Understand what is MikroTik and where it is located,0,True,"1,550,000"
417118,Eclipse Debugging Techniques And Tricks,Learning From; Ayan,4.64,All Levels,https://www.udemy.com/course/eclipse-debugging-techniques-and-tricks/,4.5 total hours,Learn all the required skills to debug any Java application using Eclipse; Master the techniques to quickly find out the root cause of the bug in a program; Gain the exposure the powerful debugging features that Eclipse provides ,0,True,"1,290,000"
1115984,Learning Cisco Unified Computing System - UCS,Jason,4.5471697,Intermediate Level,https://www.udemy.com/course/learning-cisco-unified-computing-system-ucs/,10.5 total hours,Identify common UCS components; Describe and configure service profiles; Describe and configure UCS pools,0,True,"589,000"
3255082,AIX Administration for Absolute Beginners: Better than Linux,Adeel,4.491803,All Levels,https://www.udemy.com/course/aix-admin/,2 total hours,Learn IBM AIX System Administration ( AIX Version 7.2 ); Create a IBM Power Systems Virtual Server; Build an AIX (LPAR) Logical Partition in the IBM Cloud,0,True,"1,560,000"
3275286,Asana -Project Management -The Complete Course for Beginners,George,4.5091743,Beginner Level,https://www.udemy.com/course/asana-project-management-tool/,5 total hours,How to setup Asana from scratch; How to use projects in Asana; How to use tasks in Asana,0,True,"1,010,000"
3935176,Learning IT Help Desk for Beginners,Emilio,4.6088085,All Levels,https://www.udemy.com/course/helpdesk-pro/,4.5 total hours,Further understanding on key IT technologies; Basics around Windows 10 administration and support; IT Hardware overview and troubleshooting,0,True,"1,260,000"
4747562,PL-900 Microsoft Power Platform Fundamentals Complete Guide,Henry,4.532051,All Levels,https://www.udemy.com/course/pl-900-microsoft-power-platform-fundamentals-complete-guide/,17 total hours,"Everything you need to pass the PL-900 exam and receive the Power Platform Fundamentals certification; All learning objectives in the PL-900 Microsoft Power Platform Fundamentals curriculum, through video lectures, demos, PDF study guides, and practice exams; Understand and communicate the business value, and the core components, of Microsoft Power Platform",80,True,"629,000"
3519778,FortiGate Firewall Version 6.4 NSE4 Training,Ahmad,4.76,All Levels,https://www.udemy.com/course/fortigate-firewall-version-64-nse4-training/,30.5 total hours,Configure and Manage FortiGate Firewall.; Understand FortiGate Firewalls Deployment Methods.; How to setup a Lab Environment.,0,True,"479,000"
4611846,Cyber Security for Absolute Beginners: Essential Concepts,Alton Teaches; Alton,4.627315,Beginner Level,https://www.udemy.com/course/cyber-security-for-absolute-beginners-essential-concepts/,4 total hours,Understand the Fundamentals of Cyber Security Threats & Countermeasures; Have a Strong Fundamental Understanding of Cyber Security; Be Prepared for More Advanced Cyber Security Courses,0,True,"1,230,000"
5839844,HCIA-5G-RAN (H35-480) Practice Questions,Honey,5.0,Beginner Level,https://www.udemy.com/course/hcia-5g-ran-h35-480/,60 questions,Basic concepts and principles of 5G technology; Understanding of 3GPP-based standard 5G network architecture and key technologies; Principles and protocol interface procedures of the 5G air interface,60,True,"1,960,000"
6206333,Cisco Certified DevNet Associate (200-901 DEVASC),Kumar,5.0,All Levels,https://www.udemy.com/course/cisco-certified-devnet-associate-200-901-devasc-certified/,475 questions,Understand the principles of software development and design.; Demonstrate knowledge of APIs and their use in network automation.; Develop applications using Cisco DevNet tools and SDKs.,475,True,"1,920,000"
5579306,Practical AWS Certified Cloud Practitioner CLF-C02 Prep,Balvir,5.0,All Levels,https://www.udemy.com/course/practical-aws-certified-cloud-practitioner-clf-c02-prep/,4 total hours,"AWS Cloud Fundamentals: You’ll dive deep into the core concepts of AWS, including its architecture, services, and the AWS Global Infrastructure.; Core AWS Services: You’ll gain hands-on experience with fundamental AWS services like EC2, S3, VPC, IAM, and more. Learn how to navigate the AWS Management; Security and Compliance: Master the AWS shared responsibility model, learn about key compliance programs, and understand how to secure your AWS environment",0,True,"179,000"
6003230,ITIL 4  (Unofficial) Foundation Certification Practics Exams,Muzammil; Haris,5.0,All Levels,https://www.udemy.com/course/itil-4-foundation-certification-practics-exams/,240 questions,The key components and practices of the ITIL 4 framework.; How to prepare for the ITIL 4 Foundation certification exam with confidence and competence.; Familiarize yourself with the ITIL 4 syllabus and exam structure to understand what topics will be covered and how the exam will be formatted.,240,True,"679,000"
6172815,Extensive Exam Prep for DP-900 Certification: Practice Exams,Khalil,5.0,All Levels,https://www.udemy.com/course/extensive-exam-prep-for-dp-900-certification-practice-exams/,336 questions,"Reinforce your learning and retention of exam topics; Targeted Practice: Focus your preparation on areas where you need improvement, based on your practice test performance.; Time Management: Develop effective time management skills by practicing under timed conditions.",336,True,"899,000"
6100237,Cisco Catalyst SDWAN Practical Lab Video Course,Justin,5.0,Intermediate Level,https://www.udemy.com/course/cisco-catalyst-sdwan-practical-lab-video-course/,3 total hours,Deploy onPrem CIsco SDWAN Catalyst Controller and Cisco PNP Certificate signing; Onboard Cisco Catalyst Router into SDWAN Manager using Feature and Device Template; Deploy Direct Internet Access by use Centralized Control Policy,0,True,"939,000"
5995986,CKAD Preparation Kit,Vehbi Yusuf,5.0,Intermediate Level,https://www.udemy.com/course/ckad-example-questions/,28 questions,Preparing for the CKAD exam; Practicing with kubectl; Time management for the CKAD exam,28,True,"429,000"
5560704,Practice exams: Tableau Server Certified Associate,Excelevate,5.0,All Levels,https://www.udemy.com/course/practice-exams-tableau-server-certified-associate-s/,345 questions,Mastery of Exam Content; Improved Test-Taking Strategies; Enhanced Problem-Solving Skills,345,True,"549,000"
5916582,AWS ANS-C01 Advanced Networking Specialty Practice Exams,Priya,5.0,Expert Level,https://www.udemy.com/course/aws-adv-networking-specialty-ans-c01-practice-exams/,201 questions,"Ace the AWS Advanced Networking Exam Format:; Master the question types, exam strategies, and time management techniques essential for success on the ANS-C01.; Design Complex AWS Network Architectures:",201,True,"1,840,000"
4928640,Attacking and Defending the computer networks,Sergo,5.0,Beginner Level,https://www.udemy.com/course/attacking-and-defending-the-computer-networks/,2 total hours,Perform the penetration test of the local network; Obtain a knowledge about mitigation and security mechanisms to protect the LAN; Obtain a knowledge about how LAN's work,0,True,"159,000"
6318091,Mastering Vuforia for Augmented Reality,EDUCBA,5.0,All Levels,https://www.udemy.com/course/mastering-vuforia-for-augmented-reality/,3.5 total hours,Fundamental concepts of Augmented Reality and Vuforia.; Integration of Vuforia with Unity.; Setting up image and video overlays.,0,True,"899,000"
6615573,Salesforce Certified Business Analyst - Real Exam Questions,Master,5.0,All Levels,https://www.udemy.com/course/salesforce-certified-business-analyst-real-exam-questions/,324 questions,Gain a deep understanding of the Salesforce Certified Business Analyst exam structure and key topics; Be fully prepared to pass the Salesforce Certified Business Analyst exam on the first attempt.; Build confidence with timed quizzes and in-depth explanations for both correct and incorrect answers.,324,True,"249,000"
4041288,CBSE Class 12 Computer Science (083) Practice Set/Mock Test,Nidhi,5.0,Beginner Level,https://www.udemy.com/course/cbse-class-12-computer-science-083-practice-setmock-test/,401 questions,Able to test CBSE class 12th Computer Science (083) Preparation.; Able to test your Python 3 Programming skill sets.; Able to test your Database Management skill sets.,401,True,"399,000"
5748722,Introduction to Software Development for Career Switchers,Achala,5.0,All Levels,https://www.udemy.com/course/introduction-to-software-development-for-career-switchers/,6 total hours,"Understand the fundamentals of computer science and software development.; Demonstrate proficiency in basic programming concepts, including flowcharts, pseudocode, and variables.; Write simple programs in a programming language of their choice.",0,True,"1,060,000"
6111709,Linux Mastery for Modern Developers and Devops,Sousa,5.0,All Levels,https://www.udemy.com/course/linux-mastery-for-modern-developers-and-devops/,10 total hours,Master the command line; Master Shell Scripting with bash; Write from simple to complex Linux Scripts,0,True,"279,000"
5959180,Latest CISA Practice Tests: 600 In-Depth Q/As & Explanations,Cristina,5.0,All Levels,https://www.udemy.com/course/latest-cisa-practice-tests-600-in-depth-qas-explanations-j/,600 questions,"Deep dive into the CISA's five domains, mastering key concepts and strategies.; Develop critical thinking skills through scenario-based questions, equipping you for real-world auditing situations.; Familiarise yourself with the CISA exam structure, making the actual exam more approachable and less intimidating.",600,True,"559,000"
6143333,Cisco Certified Network Associate (CCNA) Certification Test,Exams Practice Tests,5.0,All Levels,https://www.udemy.com/course/cisco-certified-network-associate-ccna-certification-test/,120 questions,Master the Key Concepts of Networking; Configure and Troubleshoot Network Devices; Implement Network Security Best Practices,120,True,"1,110,000"
5506858,C_TS450_2020 :  SAP S/4HANA -Upskilling for ERP Experts,Ritesh,5.0,All Levels,https://www.udemy.com/course/ritz-c_ts450_2020/,320 questions,Guarantee to pass the C_TS450_2020 -SAP Certified Application Associate - SAP S/4HANA Sourcing and Procurement - Upskilling for ERP Experts; Learn about Upskilling for ERP Experts; Prepare student for certification exam,320,True,"1,980,000"
6503039,Front-end Developer Specialist (O11 and ODC) Exam Prep 2025,Pedro,5.0,All Levels,https://www.udemy.com/course/front-end-developer-specialist-o11-and-odc-certification-prep/,120 questions,"Brush up on fundamentals, CSS, JS, HTML; Refresh your knowledge on responsive web apps in OutSystems; Deeper knowledge grasp on Front End performance Optimization",120,True,"939,000"
6607895,712-50: EC-Council CCISO Certification – Practice Test 2025,Manju,5.0,All Levels,https://www.udemy.com/course/712-50-ec-council-cciso-certification-practice-test-2025/,900 questions,"Solve 6 full-length 712-50 CCISO practice exams with 150 MCQ and MSQ questions each; Understand detailed explanations for all answer options, both correct and incorrect; Identify weak areas and strengthen knowledge in CCISO exam domains",900,True,"1,400,000"
6247043,Wifi Ethical Hacking: Hak5 Wifi Pineapple & HackRF One,Paul,5.0,Beginner Level,https://www.udemy.com/course/wifi-pineapple-hackrf-one/,5.5 total hours,Setting Up Wifi Pineapple; Scanning and Monitoring Wifi Networks; Packet Injection,0,True,"1,120,000"
5346602,Breezing through the AWS Solutions Architect Associate Exam,Gokul C,5.0,Beginner Level,https://www.udemy.com/course/breezing-through-the-aws-solutions-architect-associate-exam/,260 questions,An deeper and insightful understanding of the Cloud Computing Paradigm; Architectural nuances and trade offs in the AWS Cloud; An in- depth insight into Secure Architecture (highest weighting in the Exam as well),260,True,"1,880,000"
6553705,ServiceNow CIS - Discovery Exam : Yokohama Release 2025,JS,5.0,All Levels,https://www.udemy.com/course/servicenow-cis-discovery-exam-yokohama-release-2025/,120 questions,CSA; ITSM; SERVICENOW DISCOVERY,120,True,"129,000"
6265017,Professional Agile Leadership (PAL I) - Practice Tests,Manish,5.0,Beginner Level,https://www.udemy.com/course/professional-agile-leadership-pal-i-practice-tests/,241 questions,Understanding of Professional Agile Leadership Principles; Key Concepts of Evidence-Based Management; Applying Agile Leadership Skills in Real-World Scenarios,241,True,"1,320,000"
6407813,Bug Bounty With CVE Hunting Along With Ethical Hacking,Armaan,5.0,All Levels,https://www.udemy.com/course/bug-bounty-with-cve-hunting-along-with-ethical-hacking/,3 total hours,CVE Hunting; Reporting; Bug Bounty,0,True,"1,150,000"
5483420,LWC Tutorial with Hands-on Project Development in Salesforce,Vijay,5.0,Beginner Level,https://www.udemy.com/course/lwc-tutorial-with-hands-on-project-development-in-salesforce/,23 total hours,Lightning Web Component Development; How to communicate between components using Events; Component life cycle and event best practices,0,True,"199,000"
5203354,Oracle Cloud Data Management 1Z0-1105-22 Practice Test,ByteWise,5.0,All Levels,https://www.udemy.com/course/oracle-cloud-data-management-1z0-1105-22-practice-test-2022/,55 questions,Data Management Introduction; Oracle Cloud Free Tier Account; Autonomous Database and Tools,55,True,"219,000"
6381929,GRC Skillternship: GRC Analyst in Action,AD,5.0,All Levels,https://www.udemy.com/course/grc-skillternship/,2 total hours,"Learn and apply key cybersecurity frameworks such as ISO 27001, NIST, PCI DSS, and HIPAA, which are foundational to regulatory compliance.; Work within SecureTech’s GRC team, developing governance structures and creating and updating policies that align with industry standards.; Assess SecureTech’s risks, scoring and strategizing mitigations for data breaches, third-party vulnerabilities, and compliance issues.",0,True,"469,000"
6015616,Python Data Structures: Exam Prep Series,Bodhisattwa,5.0,All Levels,https://www.udemy.com/course/python-data-structures-exam-prep-series/,156 questions,"Master Python data structures: lists, tuples, dictionaries, sets.; Understand fundamental operations and methods for each data structure.; Learn how to manipulate and iterate through data structures efficiently.",156,True,"1,780,000"
6441295,Beginners Guide to Tally,Dr Narendra Kumar,5.0,Beginner Level,https://www.udemy.com/course/beginners-guide-to-tally/,1.5 total hours,"Accounting through tally; Creation of Ledger, items in tally; Voucher Entries, GST Entries, TDS Entries and so on in tally",0,True,"1,670,000"
6423121,300 Active Directory Scenario-based Interview Questions,Interview,5.0,All Levels,https://www.udemy.com/course/300-active-directory-scenario-based-interview-questions/,300 questions,Active Directory Interview Preparation Mastery; Deep Understanding of Core Active Directory Concepts; Understanding of Active Directory best practices,300,True,"1,930,000"
6130649,MB-210 Mastery: Preparation with Test for Dynamics 365 Sales,Mohamed,5.0,All Levels,https://www.udemy.com/course/mb-210-mastery-expert-level-preparation-for-dynamics-365/,246 questions,Reinforce your learning and retention of exam topics; Confidence Building: Regular practice tests boost confidence and reduce test anxiety.; Reinforced Learning: Strengthen retention of key concepts through repeated practice.,246,True,"1,780,000"
6529695,1Z0-1072-25 :Oracle Cloud Infrastructure Architect Associate,Anuradha,5.0,All Levels,https://www.udemy.com/course/1z0-1072-25-oracle-cloud-infrastructure-architect-associate/,51 questions,1Z0-1072-25 Practice Test; Test exam under real exam simulation; Oracle Cloud Infrastructure Architect Associate,51,True,"919,000"
6434193,CompTIA A+ Core 2(220-1202) Practice Test Certification Exam,HACKALYS Academy | 750.000+ Students Enrollments,5.0,All Levels,https://www.udemy.com/course/comptia-a-core-2-220-1102-practice-test-certification-exam/,120 questions,"We cover all four domains of the CompTIA A+ Core 2 (220-1202) exam, Including:; 1- Operating Systems: 28%; 3- Software Troubleshooting: 23%",120,True,"1,000,000"
6232267,VMware Certified Professional 6 – Data Center Virtualization,Nicola,5.0,All Levels,https://www.udemy.com/course/vmware-certified-professional-6-data-center-virtualization-delta-exam/,222 questions,"Master the foundational knowledge of VMware vSphere 6, including ESXi hosts and vCenter Server.; Understand the key principles of data center virtualization and the role of virtual machines (VMs).; Learn how to migrate virtual machines and storage resources without downtime.",222,True,"469,000"
6406973,IT Fundamentals Bootcamp for Non-Technical Professionals,James; David,5.0,Beginner Level,https://www.udemy.com/course/it-fundamentals-bootcamp-for-non-technical-professionals/,8.5 total hours,Computer hardware components; Microsoft Windows functionality; IT security essentials,0,True,"859,000"
5332012,AWS Certified Security Specialty Practice Tests [2024],Dora |,5.0,All Levels,https://www.udemy.com/course/2023-new-aws-certified-security-specialty-practice-exam/,100 questions,"The AWS Fundamentals: IAM, EC2, Load Balancing, Auto Scaling, EBS, EFS, Route 53, RDS, ElastiCache, S3, CloudFront; The AWS CLI: CLI setup, usage on EC2, best practices, SDK, advanced usage; In-Depth Database comparison: RDS, Aurora, DynamoDB, ElastiCache, DocumentDB, Neptune, Keyspaces, QLDB, Timestream",100,True,"239,000"
6119641,Test Automation Engineer Certification Prep - 840 Questions,Hassan,5.0,All Levels,https://www.udemy.com/course/test-automation-engineer-certification-prep-840-questions/,840 questions,"Enhanced Problem-Soling Skills: Improe your ability to sole complex problems quickly and efficiently under exam conditions.; Immediate Feedback: Receie instant feedback on your performance, helping you to understand mistakes and learn from them.; Realistic Exam Simulation: Experience a simulated exam enironment, which helps in acclimatizing to the pressure and timing of the actual test.",840,True,"1,230,000"
6130625,SC-900 Mastery: Comprehensive Guide to Security Fundamentals,Mohamed,5.0,All Levels,https://www.udemy.com/course/sc-900-mastery-comprehensive-guide-to-security-fundamentals/,198 questions,Identify and address specific knowledge gaps to ensure a well-rounded preparation for the certification.; Strategic Answering Techniques: Learn and practice strategic techniques for answering different types of questions effectiely.; Feedback and Improvement: Review correct and incorrect answers to understand reasoning and improve.,198,True,"619,000"
6457781,AWS Infrastructure as Code with Terraform & GitHub Actions,Rekhu Gopal,5.0,All Levels,https://www.udemy.com/course/aws-infrastructure-as-code-with-terraform-github-actions/,2.5 total hours,"Understand core Terraform concepts and write clean, modular Infrastructure as Code (IaC) for AWS.; Set up and manage GitHub Actions for Terraform CI/CD pipelines across multiple environments.; Secure Terraform deployments using GitHub OIDC authentication, AWS IAM roles, KMS encryption, and S3/DynamoDB backend.",0,True,"779,000"
5886008,AZ-801: Windows Server Hybrid Administrator┃Practice Tests,IAC Future,5.0,All Levels,https://www.udemy.com/course/az-801-windows-server-hybrid-administratorpractice-tests/,286 questions,"Master securing Windows Server on-premises and hybrid infrastructures to safeguard critical data and resources effectively.; Implement robust high availability solutions on Windows Server environments, ensuring uninterrupted service delivery.; Develop disaster recovery strategies for Windows Server setups, enabling swift and efficient recovery in case of disruptions.",286,True,"1,410,000"
3184036,Building Unity 2D Platformer for Beginners Step by Step,Ameen,5.0,All Levels,https://www.udemy.com/course/software-mobile-development-app/,5.5 total hours,"Have hands on experience building a 2d game level.; Be able to program 2d character movement, AI enemies, and environment scripting such as moving platforms; Gain an understanding of the game development process.",0,True,"1,740,000"
6233307,Certified Artificial Intelligence Scientist CAIS Exams 2025,HASSINI,5.0,All Levels,https://www.udemy.com/course/certified-artificial-intelligence-scientist-cais-exams-latest/,480 questions,480 High Quality Questions; Fully Updated for the 2025 version of the Certified Artificial Intelligence Scientist CAIS Exam; Fully compatible with the Certified Artificial Intelligence Scientist CAIS Exam (rather than just being random questions),480,True,"1,710,000"
