title,organization,skill_names,rating,level,type,duration,number_of_reviews,url,price
Modern Project Management,SkillUp EdTech," Business Analysis, Communication, Leadership and Management, Project Management, Risk Management",4.6,Beginner , Specialization , 3 - 6 Months,140,https://www.coursera.org/specializations/modern-project-management,"1,710,000"
Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud," Machine Learning, Google Cloud Platform, Applied Machine Learning, Cloud Computing, Human Learning, Machine Learning Software, Cloud Platforms, Machine Learning Algorithms, Tensorflow, Deep Learning, Feature Engineering, Artificial Neural Networks, Training, DevOps, Exploratory Data Analysis, Python Programming, Cloud-Based Integration, Data Analysis, Data Visualization, Big Data, Probability & Statistics, Regression, Statistical Programming, Statistical Visualization, Algorithms, Continuous Integration, SQL, Cloud API, Apache, Extract, Transform, Load, Docker (Software)",4.6,Intermediate , Professional Certificate , 3 - 6 Months,26000,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-certification-machine-learning-engineer,"1,000,000"
Architecting with Google Compute Engine,Google Cloud," Cloud Applications, Cloud Computing, Google Cloud Platform, Cloud Infrastructure, Cloud Platforms, Cloud Management, Other Cloud Platforms and Tools, Cloud Engineering, Cloud Storage, Cloud-Based Integration, Computer Networking, DevOps, Google App Engine, Network Architecture, Computer Programming, Kubernetes, Leadership and Management",4.7,Intermediate , Specialization , 3 - 6 Months,57000,https://www.coursera.org/specializations/architecting-with-google-compute-engine,"1,270,000"
SAP Technology Consultant,SAP," Leadership and Management, Strategy and Operations, Cloud-Based Integration, Business Analysis, Business Transformation, Business Process Management, Cloud Applications, Strategy, Customer Analysis, Planning, Project Management, Business Intelligence, Software As A Service, Supply Chain and Logistics, Cloud Standards, Cloud Computing, Network Architecture, Software Architecture, System Software, Communication",4.7,Beginner , Professional Certificate , 3 - 6 Months,558,https://www.coursera.org/professional-certificates/sap-technology-consultant,"459,000"
"JavaScript Programming with React, Node & MongoDB",IBM," Javascript, Computer Programming, Web Development, Computer Science, Front-End Web Development, NoSQL, React (web framework)",4.3,Beginner , Specialization , 3 - 6 Months,533,https://www.coursera.org/specializations/javascript-programming-with-react-node--mongodb,"179,000"
Digital Product Management,University of Virginia," Agile Software Development, Product Management, Leadership and Management, Design and Product, Software Engineering, Product Development, Project Management, User Experience, Customer Analysis, Product Design, User Research, Data Analysis, Communication, Continuous Delivery, People Analysis, Planning, Product Strategy, Strategy",4.7,Beginner , Specialization , 3 - 6 Months,9100,https://www.coursera.org/specializations/digital-product-management,"1,070,000"
Graphic Design,California Institute of the Arts," Graphic Design, Visual Design, Communication, Computer Graphic Techniques, Computer Graphics, Creativity, Graph Theory, Visualization (Computer Graphics), Geometry, Interactive Design",4.7,Beginner , Specialization , 3 - 6 Months,20000,https://www.coursera.org/specializations/graphic-design,"1,620,000"
"Python for Data Science, AI & Development",IBM," Python Programming, Computer Programming, Data Analysis",4.6,Beginner , Course , 1 - 3 Months,34000,https://www.coursera.org/courses/python-for-data-science-ai--development,"1,360,000"
AWS Cloud Solutions Architect,Amazon Web Services," Amazon Web Services, Cloud Computing, Cloud Storage, Data Management, Big Data, Cloud Applications, Cloud Engineering, Cloud Platforms, Data Analysis, Data Warehousing, Extract, Transform, Load, Cloud Management, Data Architecture, Cloud Infrastructure, Data Visualization, Database Design, Other Cloud Platforms and Tools, Software Architecture, Leadership and Management, Machine Learning",4.8,Intermediate , Professional Certificate , 3 - 6 Months,4800,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect,"1,420,000"
Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud," Cloud Computing, Google Cloud Platform, Cloud Platforms, Cloud Engineering, Cloud Infrastructure, Network Security, Computer Networking, Computer Security Models, Cloud Applications, Cloud Management, Cloud Storage, Network Architecture, Software Security, System Security, Other Cloud Platforms and Tools, Security Engineering, Security Strategy, Google App Engine, Network Model, Computer Security Incident Management, DevOps, Software-Defined Networking, Security Software, Kubernetes, Leadership and Management",4.7,Intermediate , Professional Certificate , 3 - 6 Months,49000,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-certification-cloud-security-engineer,"1,660,000"
AWS Cloud Technology Consultant,Amazon Web Services," Amazon Web Services, Cloud API, Cloud Computing, Cloud Infrastructure, Cloud Storage, Continuous Integration, Customer Support, Data Analysis, Data Architecture, DevOps, Information Technology, Leadership and Management, Project Management, Python Programming, Software Architecture, Software Testing, Strategy, Web Development",4.8,Beginner , Professional Certificate , 3 - 6 Months,4600,https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant,"1,230,000"
Preparing for Google Cloud Certification: Cloud Data Engineer,Google Cloud," Cloud Computing, Google Cloud Platform, Cloud Platforms, Big Data, Data Management, Data Analysis, Data Analysis Software, Databases, Computer Networking, Applied Machine Learning, Data Warehousing, Machine Learning, SQL, Communication, Cloud Storage, Data Architecture, Human Learning, Machine Learning Algorithms, Machine Learning Software, Algorithms, Cloud Applications, Cloud Infrastructure, Distributed Computing Architecture, Business Analysis, Leadership and Management, Problem Solving, Apache, Python Programming, Warehouse Management, Feature Engineering, Statistical Programming, Tensorflow",4.6,Intermediate , Professional Certificate , 3 - 6 Months,18000,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-certification-cloud-data-engineer,"1,860,000"
Data Analysis and Presentation Skills: the PwC Approach,PwC," Data Analysis, Business Analysis, Data Management, Data Visualization, Microsoft Excel, Data Analysis Software, Spreadsheet Software, Problem Solving, Statistical Analysis, Interactive Data Visualization, Data Structures, Statistical Visualization, Extract, Transform, Load, Data Model, Data Visualization Software, General Statistics, Big Data, Critical Thinking, Professional Development, Visualization (Computer Graphics), Decision Making, Communication, Business Communication, Storytelling, Customer Analysis, Forecasting, Visual Design, Planning",4.6,Beginner , Specialization , 3 - 6 Months,11000,https://www.coursera.org/specializations/data-analysis-and-presentation-skills-the-pwc-approach,"1,090,000"
AWS Fundamentals,Amazon Web Services," Amazon Web Services, Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Applications, Cloud Platforms, Cloud Engineering, Cloud Storage, Network Security, Cloud API, Cloud-Based Integration, Computer Security Models, Security Engineering, Security Software, Security Strategy, System Security, Software Security, Distributed Computing Architecture, Other Cloud Platforms and Tools, Data Management, Database Application, Database Design, Databases, Software Architecture, Data Architecture, Continuous Delivery, Data Visualization, Leadership and Management, Data Analysis",4.8,Beginner , Specialization , 1 - 3 Months,4700,https://www.coursera.org/specializations/aws-fundamentals,"1,610,000"
Learn SQL Basics for Data Science,"University of California, Davis"," Databases, SQL, Data Management, Data Analysis, Big Data, Data Model, Exploratory Data Analysis, Database Administration, Problem Solving, Database Design, Business Analysis, Database Application, Extract, Transform, Load, Critical Thinking, Apache, Data Architecture, Customer Analysis, Distributed Computing Architecture, Data Science",4.6,Beginner , Specialization , 3 - 6 Months,17000,https://www.coursera.org/specializations/learn-sql-basics-for-data-science,"1,490,000"
Leadership Skills,IIMA - IIM Ahmedabad," Communication, Leadership and Management, People Management",4.8,Beginner , Course , 1 - 3 Months,958,https://www.coursera.org/courses/leadership-skills,"1,490,000"
Introduction to Generative AI,Google Cloud," Artificial Neural Networks, Deep Learning, Machine Learning",4.6,Beginner , Course , 1 - 4 Weeks,2500,https://www.coursera.org/courses/introduction-to-generative-ai,"1,860,000"
Tools of the Trade: Linux and SQL,Google," Linux, Databases, SQL",4.8,Beginner , Course , 1 - 4 Weeks,2000,https://www.coursera.org/courses/tools-of-the-trade-linux-and-sql,"299,000"
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud," Google Cloud Platform, Cloud Computing, Cloud Platforms, Big Data, Data Analysis, Data Management, Applied Machine Learning, Data Warehousing, Machine Learning, SQL, Cloud Storage, Data Architecture, Human Learning, Machine Learning Algorithms, Machine Learning Software, Algorithms, Cloud Applications, Cloud Infrastructure, Distributed Computing Architecture, Apache, Python Programming, Warehouse Management, Feature Engineering, Statistical Programming, Tensorflow",4.6,Intermediate , Specialization , 3 - 6 Months,18000,https://www.coursera.org/specializations/data-engineering-big-data-and-machine-learning-on-gcp,"139,000"
Construction Management,Columbia University," Project Management, Leadership and Management, Strategy and Operations, Planning, Estimation, Operations Management, Budget Management, Accounting, Decision Making, Finance, Cost Accounting, Critical Thinking, Financial Accounting, Performance Management, Strategy, Financial Analysis, Investment Management, Financial Management, Process Analysis, Risk Management, Computational Thinking, Computational Logic, Statistical Visualization, Collaboration, Innovation, Change Management, Business Transformation, Supply Chain and Logistics, Feature Engineering, Entrepreneurship",4.7,Beginner , Specialization , 3 - 6 Months,8100,https://www.coursera.org/specializations/construction-management,"1,580,000"
Cybersécurité Google,Google," Linux, SQL",4.7,Beginner , Professional Certificate , 3 - 6 Months,67,https://www.coursera.org/professional-certificates/cyberscurit-google,"1,930,000"
Ciberseguridad de Google,Google," Computer Programming, Databases, Linux, Python Programming, SQL",4.9,Beginner , Professional Certificate , 3 - 6 Months,1500,https://www.coursera.org/professional-certificates/ciberseguridad-de-google,"1,020,000"
Preparing for Google Cloud Certification: Cloud Developer,Google Cloud," Cloud Applications, Cloud Computing, Google Cloud Platform, Cloud Infrastructure, Cloud Platforms, Cloud API, Cloud Engineering, Other Cloud Platforms and Tools, Cloud Management, Cloud Storage, Cloud Load Balancing, DevOps, Application Development, Google App Engine, Software Architecture, Computer Architecture, Docker (Software), Machine Learning Software, Kubernetes",4.7,Intermediate , Professional Certificate , 3 - 6 Months,51000,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-certification-cloud-developer,"849,000"
Project Planning: Putting It All Together,Google," Project Management, Strategy and Operations, Leadership and Management, Entrepreneurship, Finance, Planning, Supply Chain and Logistics, Budget Management, Communication, Risk Management, Procurement",4.8,Beginner , Course , 1 - 3 Months,11000,https://www.coursera.org/courses/project-planning-putting-it-all-together,"279,000"
Search Engine Optimization (SEO),"University of California, Davis"," Marketing, Search Engine Optimization, Digital Marketing, Strategy, Social Media, User Experience, Customer Analysis, Media Strategy & Planning, User Research, Web Development, Market Analysis, Data Analysis, Market Research, Marketing Management, Marketing Psychology, User Experience Design, Web Development Tools, Algorithms, Brand Management, Communication, Critical Thinking, Influencing, Audit, Customer Relationship Management",4.6,Beginner , Specialization , 3 - 6 Months,12000,https://www.coursera.org/specializations/search-engine-optimization-seo,"1,180,000"
Data Structures and Algorithms,University of California San Diego," Algorithms, Theoretical Computer Science, Computer Programming, Data Structures, Problem Solving, Mathematics, Computational Thinking, Computer Programming Tools, Computational Logic, Critical Thinking, Graph Theory, Programming Principles, Mathematical Theory & Analysis, C++ Programming, Algebra, Software Testing",4.6,Intermediate , Specialization , 3 - 6 Months,16000,https://www.coursera.org/specializations/data-structures-and-algorithms,"1,200,000"
Preparing for Google Cloud Certification: Cloud Network Engineer,Google Cloud," Cloud Computing, Google Cloud Platform, Cloud Platforms, Cloud Engineering, Cloud Infrastructure, Computer Networking, Cloud Applications, Other Cloud Platforms and Tools, Cloud Management, Cloud Storage, Network Architecture, Network Model, Network Security, DevOps, Software-Defined Networking, Google App Engine, Kubernetes, Leadership and Management",4.7,Intermediate , Professional Certificate , 3 - 6 Months,48000,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-certification-cloud-network-engineer,"119,000"
Attract and Engage Customers with Digital Marketing,Google," Digital Marketing, Marketing, Search Engine Optimization, Marketing Management, Advertising, Media Strategy & Planning, Persona Research, Web Design, Web Development, Web Development Tools",4.8,Beginner , Course , 1 - 4 Weeks,4400,https://www.coursera.org/courses/attract-and-engage-customers-with-digital-marketing,"1,330,000"
Introduction to Psychology,Yale University, Critical Thinking,4.9,Beginner , Course , 1 - 3 Months,27000,https://www.coursera.org/courses/introduction-to-psychology,"309,000"
Networking in Google Cloud,Google Cloud," Cloud Computing, Google Cloud Platform, Cloud Platforms, Cloud Engineering, Cloud Infrastructure, Computer Networking, Cloud Applications, Other Cloud Platforms and Tools, Cloud Management, Cloud Storage, Network Architecture, Network Model, Network Security, DevOps, Software-Defined Networking, Google App Engine, Kubernetes, Leadership and Management",4.7,Intermediate , Specialization , 3 - 6 Months,48000,https://www.coursera.org/specializations/networking-in-google-cloud,"1,440,000"
Linear Algebra for Machine Learning and Data Science,DeepLearning.AI," Algebra, Linear Algebra, Mathematics, Python Programming, Critical Thinking, Dimensionality Reduction, Machine Learning Algorithms, Mathematical Theory & Analysis, Machine Learning",4.5,Beginner , Course , 1 - 4 Weeks,1000,https://www.coursera.org/courses/linear-algebra-for-machine-learning-and-data-science,"109,000"
Developing Applications with Google Cloud,Google Cloud," Cloud Computing, Google Cloud Platform, Cloud Applications, Cloud Platforms, Cloud API, Cloud Infrastructure, Other Cloud Platforms and Tools, Cloud Engineering, Cloud Management, Cloud Storage, Application Development, DevOps, Google App Engine, Software Architecture, Computer Architecture, Machine Learning Software, Kubernetes",4.7,Intermediate , Specialization , 3 - 6 Months,48000,https://www.coursera.org/specializations/developing-applications-with-google-cloud,"739,000"
Security in Google Cloud,Google Cloud," Google Cloud Platform, Cloud Computing, Cloud Platforms, Cloud Infrastructure, Cloud Management, Security Engineering, System Security, Cloud Applications, Cloud Engineering, Computer Security Models, Other Cloud Platforms and Tools, Cloud Storage, Network Security, Security Software, Security Strategy, Software Security, DevOps, Google App Engine, Kubernetes",4.7,Intermediate , Specialization , 3 - 6 Months,48000,https://www.coursera.org/specializations/security-in-google-cloud,"1,690,000"
ChatGPT Advanced Data Analysis,Vanderbilt University, Data Analysis,4.9,Beginner , Course , 1 - 3 Months,154,https://www.coursera.org/courses/chatgpt-advanced-data-analysis,"419,000"
Digital Marketing,University of Illinois at Urbana-Champaign," Digital Marketing, Marketing, Market Analysis, Media Strategy & Planning, Social Media, Data Analysis, Market Research, Advertising, Communication, Strategy, Business Analysis, Data Visualization, Exploratory Data Analysis, Data Management, Brand Management, Marketing Management, Data Analysis Software, Decision Making, Marketing Design, Critical Thinking, Process Analysis, Business Communication, Business Intelligence, Business Transformation, Interactive Data Visualization, Collaboration, Innovation, Planning",4.7,Beginner , Specialization , 3 - 6 Months,22000,https://www.coursera.org/specializations/digital-marketing,"689,000"
What is Data Science?,IBM," Data Science, Data Mining, Big Data, Data Analysis, Deep Learning, Machine Learning, Regression, Writing",4.7,Beginner , Course , 1 - 4 Weeks,67000,https://www.coursera.org/courses/what-is-data-science,"1,380,000"
Gestión de Proyectos de Google,Google," Leadership and Management, Project Management, Strategy and Operations, Organizational Development, Planning, Strategy, Collaboration, Communication, Adaptability, Change Management, Decision Making, Media Strategy & Planning, Process Analysis, Probability & Statistics, Risk Management, Scrum (Software Development), Agile Software Development, Budget Management, Natural Language Processing, Product Management, Prospecting and Qualification, Search Engine Optimization, Product Development, Estimation, Software Engineering, Supply Chain and Logistics",4.9,Beginner , Professional Certificate , 3 - 6 Months,6400,https://www.coursera.org/professional-certificates/gestin-de-proyectos-de-google,"449,000"
Business Strategy,University of Virginia," Strategy, Strategy and Operations, Leadership and Management, Entrepreneurship, Marketing, Sales, Market Analysis, Business Development, Business Analysis, Business Transformation, Finance, Investment Management, Planning, Product Strategy, Business Design, Research and Design, Risk Management",4.8,Beginner , Specialization , 3 - 6 Months,4000,https://www.coursera.org/specializations/business-strategy,"309,000"
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University," Front-End Web Development, HTML and CSS, Javascript, Web Development",4.7,Mixed , Course , 1 - 3 Months,16000,https://www.coursera.org/courses/html-css-and-javascript-for-web-developers,"799,000"
Applied Data Science with Python,University of Michigan," Python Programming, Data Analysis, Computer Programming, Machine Learning, Algorithms, Applied Machine Learning, Data Mining, Machine Learning Algorithms, Exploratory Data Analysis, Statistical Programming, Data Management, Extract, Transform, Load, Natural Language Processing, Critical Thinking, Statistical Machine Learning, Graph Theory, Network Analysis, Computer Programming Tools, Human Learning, Data Visualization, Network Model, Data Analysis Software, Regression, Computer Networking, General Statistics, Network Architecture, Plot (Graphics), Visualization (Computer Graphics), Computer Graphics",4.5,Intermediate , Specialization , 3 - 6 Months,34000,https://www.coursera.org/specializations/applied-data-science-with-python,"1,880,000"
Google データアナリティクス,Google," Data Analysis, Databases, Data Analysis Software, Data Management, Data Visualization, SQL, Spreadsheet Software, Business Analysis, Process Analysis, Microsoft Excel, Data Structures, Business Research, Problem Solving, R Programming, Visualization (Computer Graphics), Data Visualization Software, Decision Making, Exploratory Data Analysis, Big Data, Communication, Planning, Statistical Analysis, Tableau Software, Computer Programming, Plot (Graphics), Leadership and Management",4.7,Beginner , Professional Certificate , 3 - 6 Months,327,https://www.coursera.org/professional-certificates/google,"469,000"
Foundations of Positive Psychology,University of Pennsylvania, Resilience,4.8,Beginner , Specialization , 3 - 6 Months,7400,https://www.coursera.org/specializations/foundations-of-positive-psychology,"1,580,000"
Introduction to Data Analytics,IBM," Data Analysis, Databases, Python Programming, SQL, Data Management, Data Mining, Data Science, Data Visualization, NoSQL, R Programming, Microsoft Excel",4.8,Beginner , Course , 1 - 3 Months,14000,https://www.coursera.org/courses/introduction-to-data-analytics,"1,340,000"
DevOps on AWS,Amazon Web Services," Amazon Web Services, Cloud Computing, Continuous Delivery, Continuous Integration, DevOps, Devops Tools, Cloud Applications, Cloud Infrastructure, Cloud Management, Cloud Platforms, Cloud Standards, Software Testing, Leadership and Management, Cloud Storage",4.8,Intermediate , Specialization , 1 - 3 Months,4700,https://www.coursera.org/specializations/devops-on-aws,"1,190,000"
Mathematics for Machine Learning,Imperial College London," Algebra, Linear Algebra, Mathematics, Machine Learning, Mathematical Theory & Analysis, Computer Programming, Python Programming, Machine Learning Algorithms, Calculus, Computational Logic, Algorithms, Applied Machine Learning, Differential Equations, Problem Solving, Statistical Analysis, Dimensionality Reduction, Statistical Programming, Regression",4.6,Beginner , Specialization , 3 - 6 Months,14000,https://www.coursera.org/specializations/mathematics-for-machine-learning,"1,180,000"
Certified in Cybersecurity,ISC2," Computer Security Incident Management, Risk Management, Leadership and Management, Network Security, Cryptography, Cyberattacks, Operations Management",4.8,Beginner , Specialization , 3 - 6 Months,475,https://www.coursera.org/specializations/certified-in-cybersecurity,"1,090,000"
"Start the UX Design Process: Empathize, Define, and Ideate",Google," Audit, Collaboration, Human Computer Interaction, User Experience, User Experience Design, User Research",4.8,Beginner , Course , 1 - 4 Weeks,14000,https://www.coursera.org/courses/start-the-ux-design-process-empathize-define-and-ideate,"1,720,000"
Connected Leadership,Yale University," Leadership and Management, Change Management, People Management, Process Analysis",4.8,Beginner , Course , 1 - 3 Months,275,https://www.coursera.org/courses/connected-leadership,"1,700,000"
"Unsupervised Learning, Recommenders, Reinforcement Learning",DeepLearning.AI," Algorithms, Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Human Learning, Deep Learning, Machine Learning Software, Artificial Neural Networks, Reinforcement Learning, Tensorflow",4.9,Beginner , Course , 1 - 4 Weeks,2100,https://www.coursera.org/courses/unsupervised-learning-recommenders-reinforcement-learning,"1,640,000"
Supply Chain Management,Rutgers the State University of New Jersey," Supply Chain Systems, Supply Chain and Logistics, Planning, Strategy and Operations, Business Process Management, Inventory Management, Leadership and Management, Operations Management, Business Analysis, Continuous Delivery, Data Analysis, Estimation, Forecasting, Spreadsheet Software, Statistical Analysis, Strategy, Warehouse Management, Probability & Statistics, Transportation Operations Management, Material Handling, Shipping and Receiving, Store Management, Operations Research, Performance Management",4.7,Beginner , Specialization , 3 - 6 Months,14000,https://www.coursera.org/specializations/supply-chain-management,"1,010,000"
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University," Human Learning, Planning, Strategy, Mergers & Acquisitions",4.9,Beginner , Specialization , 3 - 6 Months,17000,https://www.coursera.org/specializations/tesol-certificate-part-1-teach-english-now,"1,530,000"
Reinforcement Learning,University of Alberta," Machine Learning, Reinforcement Learning, Algorithms, Human Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Python Programming, Statistical Machine Learning, Statistical Programming, Artificial Neural Networks, Planning, Decision Making",4.7,Intermediate , Specialization , 3 - 6 Months,3300,https://www.coursera.org/specializations/reinforcement-learning,"329,000"
Tableau Business Intelligence Analyst,Tableau Learning Partner," Business Analysis, Data Analysis, Data Architecture, Data Management, Data Visualization, Interactive Data Visualization, Project Management, Tableau Software",4.7,Beginner , Professional Certificate , 3 - 6 Months,161,https://www.coursera.org/professional-certificates/tableau-business-intelligence-analyst,"1,030,000"
Process Data from Dirty to Clean,Google," Data Analysis, SQL, Spreadsheet Software, General Statistics, Databases, Extract, Transform, Load, Microsoft Excel",4.8,Beginner , Course , 1 - 3 Months,14000,https://www.coursera.org/courses/process-data-from-dirty-to-clean,"1,260,000"
Generative Adversarial Networks (GANs),DeepLearning.AI," Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Python Programming, Deep Learning, Machine Learning Software, Statistical Programming, Computer Vision, Computer Programming, Human Learning, Problem Solving",4.7,Intermediate , Specialization , 1 - 3 Months,2200,https://www.coursera.org/specializations/generative-adversarial-networks-gans,"539,000"
Improve Your English Communication Skills,Georgia Institute of Technology," Communication, Writing, Business Communication, Professional Development",4.7,Beginner , Specialization , 3 - 6 Months,26000,https://www.coursera.org/specializations/improve-your-english-communication-skills,"349,000"
Agile Project Management,Google," Agile Software Development, Software Engineering, Project Management, Scrum (Software Development), Strategy and Operations, Collaboration, Leadership and Management, Communication, Entrepreneurship, Product Management, Influencing, Problem Solving",4.8,Beginner , Course , 1 - 4 Weeks,11000,https://www.coursera.org/courses/agile-project-management,"1,190,000"
Security Analyst Fundamentals,IBM," Security Strategy, Computer Security Incident Management, Python Programming, Cyberattacks, DevOps, Mobile Security, Software Security, System Software, Computer Programming, Leadership and Management",4.7,Beginner , Specialization , 3 - 6 Months,3700,https://www.coursera.org/specializations/security-analyst-fundamentals,"1,220,000"
Data Science,Johns Hopkins University," R Programming, Data Analysis, Statistical Programming, Statistical Analysis, Computer Programming, Exploratory Data Analysis, General Statistics, Problem Solving, Data Analysis Software, Probability & Statistics, Computer Programming Tools, Critical Thinking, Programming Principles, Statistical Tests, Data Management, Data Structures, Statistical Machine Learning, Basic Descriptive Statistics, Algorithms, Data Model, Human Learning, Machine Learning, Machine Learning Algorithms, Process Analysis, Correlation And Dependence, Data Visualization, Data Visualization Software, Plot (Graphics), Regression, Computer Graphics, Interactive Data Visualization, Applied Machine Learning, Big Data, Computational Thinking, Data Mining, Estimation, Extract, Transform, Load, Mathematics, Probability Distribution, Databases, Machine Learning Software, Communication, Computer Graphic Techniques, Knitr, Natural Language Processing, Visualization (Computer Graphics), Interactive Design, Web Development",4.5,Beginner , Specialization , 3 - 6 Months,50000,https://www.coursera.org/specializations/data-science,"219,000"
Google Marketing Digital e E-Commerce,Google," E-Commerce, Marketing, Search Engine Optimization, Strategy",4.9,Beginner , Professional Certificate , 3 - 6 Months,1100,https://www.coursera.org/professional-certificates/google-marketing-digital-e-ecommerce,"1,300,000"
Meta Marketing Analytics,Meta," Marketing, Digital Marketing, Advertising, Data Analysis, Marketing Management, Media Strategy & Planning, Business Analysis, Statistical Analysis, Probability & Statistics, Market Analysis, Communication, General Statistics, Experiment, Regression, Statistical Tests, Market Research, Basic Descriptive Statistics, Probability Distribution, Brand Management, Forecasting, Research and Design, Data Visualization, Computer Programming, Data Management, Databases, Python Programming, SQL, Statistical Programming, Storytelling, Tableau Software",4.7,Beginner , Professional Certificate , 3 - 6 Months,2200,https://www.coursera.org/professional-certificates/meta-marketing-analytics,"1,380,000"
"NoSQL, Big Data, and Spark Foundations",IBM," Apache, Big Data, Data Management, Distributed Computing Architecture, Databases, NoSQL, Extract, Transform, Load, SQL, Cloud Computing, Data Model, Machine Learning, Data Architecture, Database Administration, Database Design, Cloud Applications, IBM Cloud, Kubernetes, Python Programming, Data Warehousing",4.4,Beginner , Specialization , 3 - 6 Months,491,https://www.coursera.org/specializations/nosql-big-data-and-spark-foundations,"1,220,000"
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign," Computer Programming, C Programming Language Family, Data Structures, Algorithms, C++ Programming, Theoretical Computer Science, Programming Principles, Computational Thinking, Problem Solving, Computer Programming Tools, Critical Thinking, Graph Theory",4.7,Intermediate , Specialization , 1 - 3 Months,3300,https://www.coursera.org/specializations/accelerated-computer-science-fundamentals,"609,000"
Regulatory Compliance,University of Pennsylvania," Regulations and Compliance, Critical Thinking, Leadership and Management, Organizational Development, Risk Management, Strategy and Operations, Strategy, Employee Relations, Finance, Audit, Business Process Management, Communication, Accounting, Financial Accounting, Operations Management, People Management, Brand Management, Data Management",4.8,Intermediate , Specialization , 3 - 6 Months,2100,https://www.coursera.org/specializations/regulatory-compliance,"1,080,000"
AI Product Management,Duke University," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Probability & Statistics, Regression, Design and Product, Human Computer Interaction, Communication, Human Factors (Security), Human Learning, User Experience, User Experience Design, Data Analysis, Data Mining, Deep Learning, Project Management, Algorithms, Data Science, Leadership and Management",4.7,Beginner , Specialization , 3 - 6 Months,382,https://www.coursera.org/specializations/ai-product-management,"1,440,000"
Introduction to Programming with Python and Java,University of Pennsylvania," Computer Programming, Python Programming, Programming Principles, Java Programming, Computer Programming Tools, Data Analysis, Data Structures, Problem Solving, Computational Logic, Computational Thinking, Critical Thinking, Data Analysis Software, Data Management, Data Visualization, Exploratory Data Analysis, Software Engineering, Data Science",4.4,Beginner , Specialization , 3 - 6 Months,1500,https://www.coursera.org/specializations/introduction-to-programming-with-python-and-java,"1,870,000"
Mergers and Acquisitions,University of Illinois at Urbana-Champaign," Mergers & Acquisitions, Finance, Accounting, Financial Analysis, Financial Accounting, Banking, Business Analysis, Investment Management, Financial Management, Data Analysis, Market Analysis, Corporate Accouting, Taxes",4.6,Intermediate , Specialization , 3 - 6 Months,261,https://www.coursera.org/specializations/mergers-and-acquisitions,"1,090,000"
Operating Systems and You: Becoming a Power User,Google," Linux, Leadership and Management, Operating Systems",4.7,Beginner , Course , 1 - 3 Months,27000,https://www.coursera.org/courses/operating-systems-and-you-becoming-a-power-user,"1,170,000"
Data Science: Foundations using R,Johns Hopkins University," Data Analysis, R Programming, Statistical Programming, Exploratory Data Analysis, Computer Programming, Computer Programming Tools, Data Management, Programming Principles, Data Analysis Software, Data Structures, Statistical Analysis, Critical Thinking, Problem Solving, General Statistics, Process Analysis, Basic Descriptive Statistics, Computational Thinking, Big Data, Data Mining, Data Visualization, Databases, Extract, Transform, Load, Plot (Graphics), Communication, Computer Graphic Techniques, Computer Graphics, Interactive Data Visualization, Knitr, Visualization (Computer Graphics)",4.6,Beginner , Specialization , 3 - 6 Months,48000,https://www.coursera.org/specializations/data-science-foundations-using-r,"599,000"
Achieving Personal and Professional Success,University of Pennsylvania," Communication, Human Learning, Professional Development, Critical Thinking, Leadership Development, Leadership and Management, People Analysis, Decision Making, Emotional Intelligence, People Development, Adaptability, Planning, Negotiation, Influencing, Innovation",4.7,Beginner , Specialization , 3 - 6 Months,3100,https://www.coursera.org/specializations/achieving-personal-and-professional-success,"939,000"
Artificial Intelligence in Marketing,University of Virginia," Digital Marketing, Marketing, Algorithms, Customer Relationship Management, Market Analysis, Strategy, Machine Learning Software, Marketing Management, Network Analysis, Product Strategy",4.5,Beginner , Course , 1 - 4 Weeks,161,https://www.coursera.org/courses/artificial-intelligence-in-marketing,"199,000"
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI," Applied Machine Learning, Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Algorithms, Computer Programming, Mathematics, Python Programming, Mathematical Theory & Analysis, Tensorflow, Human Learning",4.9,Intermediate , Course , 1 - 4 Weeks,63000,https://www.coursera.org/courses/improving-deep-neural-networks-hyperparameter-tuning-regularization-and-optimization,"719,000"
